Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
110192,EMORY EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,,,SNELLVILLE,GA,30078,GWINNETT,7707362498,9%,23%,68%,6%,18%,76%,17%,31%,52%,11%,26%,63%,26%,18%,56%,13%,21%,66%,11%,31%,58%,83%,17%,10%,27%,63%,8%,25%,67%,300 or more,29%,
110194,DONALSONVILLE HOSPITAL INC,102 HOSPITAL CIR,,,DONALSONVILLE,GA,39845,SEMINOLE,2295245217,3%,17%,80%,3%,12%,85%,10%,26%,64%,5%,20%,75%,15%,19%,66%,6%,18%,76%,7%,23%,70%,74%,26%,7%,21%,72%,4%,26%,70%,300 or more,25%,
110198,NORTH FULTON REGIONAL HOSPITAL,3000 HOSPITAL BOULEVARD,,,ROSWELL,GA,30076,FULTON,7707512500,8%,20%,72%,5%,17%,78%,18%,26%,56%,8%,23%,69%,22%,19%,59%,8%,23%,69%,14%,34%,52%,81%,19%,10%,27%,63%,6%,29%,65%,300 or more,32%,
110200,HUGHSTON HOSPITAL,100 FRIST COURT,,,COLUMBUS,GA,31909,MUSCOGEE,7064942100,1%,10%,89%,3%,10%,87%,4%,16%,80%,4%,16%,80%,12%,13%,75%,4%,11%,85%,1%,10%,89%,91%,9%,2%,7%,91%,1%,5%,94%,300 or more,52%,
110201,COLISEUM NORTHSIDE HOSPITAL,400 CHARTER BOULEVARD,,,MACON,GA,31210,BIBB,4787575990,10%,18%,72%,6%,13%,81%,16%,26%,58%,11%,23%,66%,32%,14%,54%,12%,20%,68%,6%,25%,69%,83%,17%,11%,21%,68%,9%,20%,71%,300 or more,33%,
110203,WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",,,ATLANTA,GA,30329,DEKALB,4047286250,0%,18%,82%,0%,22%,78%,7%,35%,58%,0%,4%,96%,17%,20%,63%,0%,18%,82%,0%,36%,64%,91%,9%,0%,0%,100%,0%,0%,100%,Fewer than 100,13%,"Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
110205,NORTH GEORGIA MEDICAL CENTER,1362 SOUTH MAIN STREET,,,ELLIJAY,GA,30540,GILMER,7062764741,10%,18%,72%,8%,17%,75%,5%,22%,73%,7%,24%,69%,36%,14%,50%,15%,21%,64%,10%,23%,67%,71%,29%,16%,33%,51%,15%,35%,50%,Between 100 and 299,21%,
110209,TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,,,MOULTRIE,GA,31788,COLQUITT,2299854815,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No or very few patients were eligible for the HCAHPS survey
110212,SMITH NORTHVIEW HOSPITAL,4280 NORTH VALDOSTA ROAD,,,VALDOSTA,GA,31602,LOWNDES,2296712002,8%,23%,69%,7%,16%,77%,14%,23%,63%,8%,26%,66%,27%,16%,57%,6%,23%,71%,10%,24%,66%,71%,29%,14%,28%,58%,7%,29%,64%,300 or more,20%,
110215,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,,,FAYETTEVILLE,GA,30214,FAYETTE,7707197071,4%,19%,77%,5%,14%,81%,12%,24%,64%,7%,21%,72%,22%,20%,58%,7%,20%,73%,10%,27%,63%,83%,17%,6%,18%,76%,3%,16%,81%,300 or more,35%,
110219,SOUTH FULTON MEDICAL CENTER,1170 CLEVELAND AVENUE,,,EAST POINT,GA,30344,FULTON,4043053550,12%,18%,70%,7%,13%,80%,23%,23%,54%,10%,22%,68%,25%,16%,59%,14%,15%,71%,12%,25%,63%,77%,23%,13%,29%,58%,13%,30%,57%,300 or more,30%,
110225,PIEDMONT MOUNTAINSIDE HOSPITAL INC,1266 HIGHWAY 515 SOUTH,,,JASPER,GA,30143,PICKENS,7063015269,3%,15%,82%,6%,14%,80%,8%,23%,69%,6%,20%,74%,19%,17%,64%,7%,19%,74%,9%,29%,62%,81%,19%,6%,18%,76%,3%,16%,81%,300 or more,30%,
110226,DEKALB MEDICAL CENTER AT HILLANDALE,2801 DEKALB MEDICAL PARKWAY,,,LITHONIA,GA,30058,DEKALB,4045018040,9%,18%,73%,9%,16%,75%,20%,23%,57%,10%,23%,67%,28%,18%,54%,9%,21%,70%,6%,21%,73%,78%,22%,14%,24%,62%,9%,28%,63%,300 or more,16%,
110229,"PIEDMONT NEWNAN HOSPITAL, INC",60 HOSPITAL ROAD,,,NEWNAN,GA,30263,COWETA,7703044054,5%,16%,79%,6%,13%,81%,11%,28%,61%,6%,24%,70%,21%,19%,60%,8%,19%,73%,13%,32%,55%,88%,12%,11%,25%,64%,7%,27%,66%,300 or more,25%,
110230,EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PARKWAY,,,JOHNS CREEK,GA,30097,CHATTOOGA,6784747000,7%,21%,72%,2%,16%,82%,13%,31%,56%,7%,23%,70%,22%,20%,58%,9%,21%,70%,5%,24%,71%,85%,15%,8%,17%,75%,5%,18%,77%,300 or more,30%,
111302,BLECKLEY MEMORIAL HOSPITAL,145 EAST PEACOCK STREET,,,COCHRAN,GA,31014,BLECKLEY,4789346211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111303,JASPER MEMORIAL HOSPITAL,898 COLLEGE STREET,,,MONTICELLO,GA,31064,JASPER,7064686411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111306,EFFINGHAM COUNTY HOSPITAL,459 GA HIGHWAY 119 SOUTH,,,SPRINGFIELD,GA,31329,EFFINGHAM,9127540160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111308,CLINCH MEMORIAL HOSPITAL,1050 VALDOSTA HIGHWAY,,,HOMERVILLE,GA,31634,CLINCH,9124875211,5%,11%,84%,2%,9%,89%,5%,15%,80%,10%,31%,59%,24%,9%,67%,4%,1%,95%,5%,24%,71%,70%,30%,8%,24%,68%,10%,20%,70%,Fewer than 100,23%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
111310,PEACH REGIONAL MEDICAL CENTER,"601 BLUE BIRD BOULEVARD, P0 BOX 1799",,,FORT VALLEY,GA,31030,PEACH,4788258691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111313,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,,,EATONTON,GA,31024,PUTNAM,7064852711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111314,PIONEER COMMUNITY HOSPITAL OF EARLY,11740 COLUMBIA STREET,,,BLAKELY,GA,39823,EARLY,2297234241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111315,CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,,,FOLKSTON,GA,31537,CHARLTON,9124962531,5%,13%,82%,2%,7%,91%,9%,17%,74%,11%,9%,80%,15%,7%,78%,14%,18%,68%,14%,20%,66%,81%,19%,9%,16%,75%,5%,24%,71%,Fewer than 100,30%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
111318,MONROE COUNTY HOSPITAL,88 MARTIN LUTHER KING JR DRIVE,,,FORSYTH,GA,31029,MONROE,4789942521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111319,SYLVAN GROVE HOSPITAL,1050 MCDONOUGH ROAD,,,JACKSON,GA,30233,BUTTS,7707757861,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111320,HIGGINS GENERAL HOSPITAL,200 ALLEN MEMORIAL DRIVE,,,BREMEN,GA,30110,HARALSON,7708242210,2%,11%,87%,2%,9%,89%,5%,15%,80%,2%,26%,72%,13%,17%,70%,4%,20%,76%,7%,27%,66%,87%,13%,6%,14%,80%,2%,20%,78%,Between 100 and 299,25%,
111324,CHATUGE REGIONAL HOSPITAL,110 EAST MAIN STREET,,,HIAWASSEE,GA,30546,TOWNS,7068962222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111325,WILLS MEMORIAL HOSPITAL,120 GORDON STREET,,,WASHINGTON,GA,30673,WILKES,7066789212,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111326,LOUIS SMITH MEMORIAL HOSPITAL,116 WEST THIGPEN AVENUE,,,LAKELAND,GA,31635,LANIER,2294828402,3%,22%,75%,5%,14%,81%,19%,14%,67%,8%,17%,75%,30%,16%,54%,5%,16%,79%,5%,29%,66%,69%,31%,9%,28%,63%,5%,34%,61%,Fewer than 100,23%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
111327,BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,,,ALMA,GA,31510,BACON,9126328961,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111328,PHOEBE WORTH MEDICAL CENTER,807 SOUTH ISABELLA STREET,,,SYLVESTER,GA,31791,WORTH,2297773851,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111329,MINNIE G BOSWELL MEMORIAL HOSPITAL,1201 SILOAM ROAD,,,GREENSBORO,GA,30642,GREENE,7064537331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111330,POLK MEDICAL CENTER,424 N MAIN STREET,,,CEDARTOWN,GA,30125,POLK,7707482500,2%,12%,86%,6%,9%,85%,8%,20%,72%,4%,14%,82%,22%,12%,66%,8%,12%,80%,2%,18%,80%,83%,17%,3%,22%,75%,5%,23%,72%,Between 100 and 299,29%,
111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,,,CAMILLA,GA,31730,MITCHELL,2293365284,5%,21%,74%,6%,10%,84%,16%,30%,54%,7%,21%,72%,22%,23%,55%,6%,18%,76%,8%,31%,61%,81%,19%,13%,23%,64%,11%,30%,59%,Fewer than 100,22%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
111332,BROOKS COUNTY HOSPITAL,903 N COURT ST,,,QUITMAN,GA,31643,BROOKS,9122636309,5%,13%,82%,4%,11%,85%,9%,24%,67%,9%,17%,74%,15%,21%,64%,1%,16%,83%,8%,15%,77%,81%,19%,13%,29%,58%,11%,35%,54%,Between 100 and 299,22%,
111334,CANDLER COUNTY HOSPITAL,400 CEDAR STREET,,,METTER,GA,30439,CANDLER,9126855741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
111335,LIBERTY REGIONAL MEDICAL CENTER,462 E G MILES PARKWAY,,,HINESVILLE,GA,31310,LIBERTY,9123699438,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
120001,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL ST,,,HONOLULU,HI,96813,HONOLULU,8085389011,5%,19%,76%,5%,17%,78%,12%,30%,58%,8%,23%,69%,20%,19%,61%,9%,22%,69%,13%,34%,53%,83%,17%,7%,17%,76%,2%,17%,81%,300 or more,35%,
120002,MAUI MEMORIAL MEDICAL CENTER,221 MAHALANI STREET,,,WAILUKU,HI,96793,MAUI,8084425101,5%,20%,75%,6%,16%,78%,9%,23%,68%,7%,24%,69%,19%,18%,63%,7%,19%,74%,17%,33%,50%,75%,25%,14%,29%,57%,7%,34%,59%,300 or more,33%,
120004,WAHIAWA GENERAL HOSPITAL,128 LEHUA STREET,,,WAHIAWA,HI,96786,HONOLULU,8086218411,10%,24%,66%,5%,19%,76%,20%,30%,50%,11%,31%,58%,23%,22%,55%,16%,28%,56%,18%,32%,50%,75%,25%,21%,32%,47%,13%,40%,47%,300 or more,29%,
120005,HILO MEDICAL CENTER,1190 WAIANUENUE AVENUE,,,HILO,HI,96720,HAWAII,8089744700,8%,26%,66%,5%,20%,75%,16%,30%,54%,11%,26%,63%,27%,20%,53%,7%,25%,68%,26%,36%,38%,79%,21%,22%,35%,43%,11%,42%,47%,Between 100 and 299,22%,
120006,CASTLE MEDICAL CENTER,640 ULUKAHIKI ST,,,KAILUA,HI,96734,HONOLULU,8082635500,6%,21%,73%,5%,17%,78%,14%,26%,60%,7%,29%,64%,19%,17%,64%,4%,16%,80%,10%,29%,61%,82%,18%,9%,23%,68%,5%,24%,71%,300 or more,34%,
120007,KUAKINI MEDICAL CENTER,347 NORTH KUAKINI STREET,,,HONOLULU,HI,96817,HONOLULU,8085362236,7%,26%,67%,6%,18%,76%,16%,26%,58%,9%,30%,61%,25%,18%,57%,7%,26%,67%,21%,33%,46%,75%,25%,14%,30%,56%,7%,33%,60%,300 or more,38%,
120010,HAWAII MEDICAL CENTER EAST,2230 LILIHA STREET,,,HONOLULU,HI,96817,HONOLULU,8085476011,9%,27%,64%,6%,20%,74%,21%,30%,49%,12%,31%,57%,21%,20%,59%,12%,26%,62%,21%,34%,45%,79%,21%,17%,31%,52%,11%,39%,50%,300 or more,35%,
120011,KAISER FOUNDATION HOSPITAL,3288 MOANALUA RD,,,HONOLULU,HI,96819,HONOLULU,8084320000,4%,20%,76%,4%,15%,81%,9%,27%,64%,5%,24%,71%,17%,20%,63%,6%,20%,74%,15%,35%,50%,84%,16%,5%,22%,73%,2%,25%,73%,300 or more,32%,
120014,WILCOX MEMORIAL HOSPITAL,3-3420 KUHIO HIGHWAY,,,LIHUE,HI,96766,KAUAI,8082451103,4%,17%,79%,5%,14%,81%,10%,23%,67%,5%,22%,73%,15%,18%,67%,6%,16%,78%,9%,34%,57%,83%,17%,9%,22%,69%,3%,26%,71%,300 or more,26%,
120019,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA STREET,,,KEALAKEKUA,HI,96750,HAWAII,8083229311,8%,19%,73%,7%,16%,77%,16%,27%,57%,14%,18%,68%,24%,17%,59%,8%,24%,68%,22%,35%,43%,70%,30%,19%,30%,51%,12%,35%,53%,Between 100 and 299,32%,
120022,STRAUB CLINIC AND HOSPITAL,888 SO KING STREET,,,HONOLULU,HI,96813,HONOLULU,8085224000,3%,16%,81%,4%,13%,83%,6%,21%,73%,6%,21%,73%,16%,19%,65%,4%,16%,80%,8%,34%,58%,83%,17%,5%,16%,79%,2%,17%,81%,300 or more,42%,
120026,PALI MOMI MEDICAL CENTER,98-1079 MOANALUA ROAD,,,AIEA,HI,96701,HONOLULU,8084866000,4%,17%,79%,3%,15%,82%,10%,25%,65%,6%,22%,72%,14%,20%,66%,5%,18%,77%,10%,29%,61%,82%,18%,5%,17%,78%,2%,19%,79%,300 or more,35%,
120027,HAWAII MEDICAL CENTER WEST,91-2141 FORT WEAVER ROAD,,,EWA BEACH,HI,96706,HONOLULU,8086787000,11%,25%,64%,9%,21%,70%,25%,24%,51%,12%,33%,55%,24%,21%,55%,13%,26%,61%,20%,27%,53%,79%,21%,25%,28%,47%,16%,39%,45%,300 or more,23%,
120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,,,KAMUELA,HI,96743,HAWAII,8088854444,4%,21%,75%,5%,15%,80%,10%,25%,65%,7%,28%,65%,16%,19%,65%,8%,18%,74%,9%,33%,58%,82%,18%,8%,22%,70%,3%,19%,78%,300 or more,36%,
121303,MOLOKAI GENERAL HOSPITAL,280 HOME OLU PLACE,,,KAUNAKAKAI,HI,96748,MAUI,8085535331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
121304,KAHUKU MEDICAL CENTER,56-117 PUALALEA STREET,,,KAHUKU,HI,96731,HONOLULU,8082939221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
121308,KULA HOSPITAL,100 KOKEA PLACE,,,KULA,HI,96790,MAUI,8088781221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
130002,ST LUKES MAGIC VALLEY RMC,801 POLE LINE ROAD WEST,,,TWIN FALLS,ID,83301,TWIN FALLS,2087372103,4%,23%,73%,5%,19%,76%,8%,28%,64%,7%,26%,67%,21%,19%,60%,7%,19%,74%,21%,39%,40%,83%,17%,11%,33%,56%,5%,36%,59%,300 or more,26%,
130003,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,,,LEWISTON,ID,83501,NEZ PERCE,2087432511,3%,19%,78%,5%,16%,79%,5%,27%,68%,6%,25%,69%,19%,21%,60%,6%,18%,76%,17%,39%,44%,86%,14%,7%,28%,65%,3%,30%,67%,300 or more,39%,
130006,ST LUKES REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,,,BOISE,ID,83712,ADA,2083812222,4%,22%,74%,5%,16%,79%,10%,30%,60%,6%,25%,69%,22%,18%,60%,8%,17%,75%,10%,32%,58%,87%,13%,6%,21%,73%,3%,18%,79%,300 or more,35%,
130007,ST ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,,,BOISE,ID,83706,ADA,2083672121,5%,21%,74%,3%,16%,81%,10%,30%,60%,7%,27%,66%,21%,20%,59%,8%,21%,71%,9%,33%,58%,86%,14%,8%,20%,72%,3%,21%,76%,300 or more,35%,
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,1512 TWELFTH AVENUE ROAD,,,NAMPA,ID,83686,CANYON,2084635533,7%,21%,72%,7%,18%,75%,10%,29%,61%,7%,27%,66%,22%,19%,59%,9%,22%,69%,10%,34%,56%,84%,16%,9%,27%,64%,6%,30%,64%,300 or more,33%,
130014,WEST VALLEY MEDICAL CENTER,1717 ARLINGTON STREET,,,CALDWELL,ID,83605,CANYON,2084594641,7%,20%,73%,5%,16%,79%,11%,26%,63%,6%,23%,71%,21%,22%,57%,10%,21%,69%,10%,30%,60%,85%,15%,9%,25%,66%,8%,28%,64%,300 or more,35%,
130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY,,,IDAHO FALLS,ID,83404,BONNEVILLE,2085296210,5%,22%,73%,4%,19%,77%,11%,30%,59%,6%,26%,68%,21%,20%,59%,14%,24%,62%,12%,38%,50%,86%,14%,8%,28%,64%,6%,30%,64%,300 or more,36%,
130025,MADISON MEMORIAL HOSPITAL,450 EAST MAIN STREET,,,REXBURG,ID,83440,MADISON,2083596488,1%,16%,83%,1%,11%,88%,2%,20%,78%,2%,13%,85%,10%,11%,79%,2%,9%,89%,4%,22%,74%,88%,12%,2%,20%,78%,1%,22%,77%,300 or more,N/A,
130028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,,,POCATELLO,ID,83201,BANNOCK,2082391000,5%,22%,73%,3%,20%,77%,9%,30%,61%,5%,29%,66%,20%,19%,61%,9%,24%,67%,11%,36%,53%,85%,15%,10%,28%,62%,5%,35%,60%,300 or more,35%,There were discrepancies in the data collection process
130049,KOOTENAI MEDICAL CENTER,2003 KOOTENAI HEALTH WAY,,,COEUR D'ALENE,ID,83814,KOOTENAI,2086662003,6%,24%,70%,5%,18%,77%,12%,31%,57%,8%,26%,66%,26%,20%,54%,11%,20%,69%,15%,36%,49%,87%,13%,9%,23%,68%,5%,22%,73%,300 or more,29%,
130063,TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET,,,BOISE,ID,83704,ADA,2083735000,1%,11%,88%,2%,11%,87%,5%,12%,83%,3%,18%,79%,10%,17%,73%,6%,6%,88%,3%,21%,76%,94%,6%,2%,8%,90%,1%,10%,89%,Between 100 and 299,58%,
130065,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,,,IDAHO FALLS,ID,83404,BONNEVILLE,2085572700,3%,19%,78%,4%,15%,81%,8%,25%,67%,4%,21%,75%,18%,18%,64%,7%,18%,75%,9%,31%,60%,85%,15%,5%,22%,73%,2%,14%,84%,300 or more,56%,
130066,NORTHWEST SPECIALTY HOSPITAL,1593 EAST POLSTON AVENUE,,,POST FALLS,ID,83854,KOOTENAI,2082622300,2%,12%,86%,3%,10%,87%,4%,10%,86%,5%,16%,79%,11%,12%,77%,4%,13%,83%,4%,22%,74%,90%,10%,3%,10%,87%,2%,7%,91%,300 or more,N/A,
130067,IDAHO DOCTORS HOSPITAL,350 NORTH MERIDIAN STREET,,,BLACKFOOT,ID,83221,BINGHAM,2087822900,0%,3%,97%,0%,6%,94%,1%,5%,94%,0%,13%,87%,7%,6%,87%,2%,1%,97%,0%,6%,94%,90%,10%,0%,3%,97%,0%,3%,97%,Fewer than 100,52%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
131301,BOUNDARY COMMUNITY HOSPITAL,6640 KANIKSU STREET,,,BONNERS FERRY,ID,83805,BOUNDARY,2082674850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
131303,ONEIDA COUNTY HOSPITAL,150 NORTH 200 WEST,,,MALAD CITY,ID,83252,ONEIDA,2087662231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
131305,STEELE MEMORIAL MEDICAL CENTER,203 SOUTH DAISY STREET,,,SALMON,ID,83467,LEMHI,2087565600,6%,19%,75%,5%,16%,79%,2%,17%,81%,9%,18%,73%,20%,24%,56%,10%,10%,80%,9%,39%,52%,85%,15%,7%,29%,64%,5%,27%,68%,Fewer than 100,25%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
